"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2024","111,500.00","111,500.00","113,000.00","110,000.00","","0.00%"
"04/16/2024","111,500.00","111,500.00","113,000.00","110,000.00","","0.00%"
"04/15/2024","111,500.00","111,500.00","113,000.00","110,000.00","","0.00%"
"04/12/2024","111,500.00","111,500.00","113,000.00","110,000.00","","0.00%"
"04/11/2024","111,500.00","111,500.00","113,000.00","110,000.00","","-0.89%"
"04/10/2024","112,500.00","112,500.00","114,000.00","111,000.00","","0.00%"
"04/09/2024","112,500.00","112,500.00","114,000.00","111,000.00","","0.00%"
"04/08/2024","112,500.00","112,500.00","114,000.00","111,000.00","","2.74%"
"04/03/2024","109,500.00","109,500.00","111,000.00","108,000.00","","0.92%"
"04/02/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.93%"
"04/01/2024","107,500.00","107,500.00","109,000.00","106,000.00","","0.00%"
"03/29/2024","107,500.00","107,500.00","109,000.00","106,000.00","","0.00%"
"03/28/2024","107,500.00","107,500.00","109,000.00","106,000.00","","0.00%"
"03/27/2024","107,500.00","107,500.00","109,000.00","106,000.00","","-1.83%"
"03/26/2024","109,500.00","109,500.00","111,000.00","108,000.00","","-2.67%"
"03/25/2024","112,500.00","112,500.00","114,000.00","111,000.00","","-1.75%"
"03/22/2024","114,500.00","114,500.00","116,000.00","113,000.00","","-0.87%"
"03/21/2024","115,500.00","115,500.00","117,000.00","114,000.00","","0.00%"
"03/20/2024","115,500.00","115,500.00","117,000.00","114,000.00","","0.00%"
"03/19/2024","115,500.00","115,500.00","117,000.00","114,000.00","","0.00%"
"03/18/2024","115,500.00","115,500.00","117,000.00","114,000.00","","1.76%"
"03/15/2024","113,500.00","113,500.00","115,000.00","112,000.00","","-2.58%"
"03/14/2024","116,500.00","116,500.00","118,000.00","115,000.00","","0.87%"
"03/13/2024","115,500.00","115,500.00","117,000.00","114,000.00","","2.67%"
"03/12/2024","112,500.00","112,500.00","114,000.00","111,000.00","","1.81%"
"03/11/2024","110,500.00","110,500.00","112,000.00","109,000.00","","1.84%"
"03/08/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.00%"
"03/07/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.00%"
"03/06/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.00%"
"03/05/2024","108,500.00","108,500.00","110,000.00","107,000.00","","0.00%"
