Date,High,Low,Open,Close,returns
2022-05-29,471.0,466.0,468.5,468.5,0.21390915
2022-06-05,477.0,470.0,472.5,474.5,1.2806773
2022-06-12,480.0,475.0,477.5,477.5,0.6322503
2022-06-19,480.0,475.0,477.5,477.5,0.0
2022-06-26,480.0,473.0,477.5,475.5,-0.4188478
2022-07-03,478.0,473.0,475.5,475.5,0.0
2022-07-10,478.0,473.0,475.5,475.5,0.0
2022-07-17,478.0,473.0,475.5,475.5,0.0
2022-07-24,479.0,473.0,475.5,476.5,0.21030903
2022-07-31,479.0,474.0,476.5,476.5,0.0
2022-08-07,480.0,474.0,476.5,477.5,0.20986795
2022-08-14,484.0,476.0,478.5,481.5,0.8376956
2022-08-21,495.0,482.0,484.5,492.5,2.2845268
2022-08-28,495.0,490.0,492.5,492.5,0.0
2022-09-04,500.0,492.0,494.5,497.5,1.015234
2022-09-11,503.0,495.0,497.5,500.5,0.6030202
2022-09-18,504.0,498.0,500.5,501.5,0.19979477
2022-09-25,513.0,508.0,510.5,510.5,1.7946124
2022-10-09,540.0,515.0,517.5,537.5,5.2889347
2022-10-16,555.0,540.0,542.5,552.5,2.7907014
2022-10-23,567.0,550.0,552.5,564.5,2.1719456
2022-10-30,590.0,570.0,572.5,587.5,4.0744066
2022-11-06,600.0,587.0,589.5,597.5,1.7021298
2022-11-13,600.0,589.0,597.5,591.5,-1.0041833
2022-11-20,593.0,575.0,590.5,577.5,-2.3668647
2022-11-27,580.0,575.0,577.5,577.5,0.0
2022-12-04,580.0,566.0,577.5,568.5,-1.5584409
2022-12-11,570.0,552.0,567.5,554.5,-2.4626195
2022-12-18,556.0,535.0,553.5,537.5,-3.0658245
2022-12-25,539.0,517.0,536.5,519.5,-3.3488393
2023-01-01,522.0,500.0,519.5,502.5,-3.2723784
2023-01-08,495.0,478.0,492.5,480.5,-4.37811
2023-01-15,483.0,475.0,480.5,477.5,-0.62434673
2023-01-29,480.0,458.0,477.5,460.5,-3.5602093
2023-02-05,463.0,447.0,460.5,449.5,-2.3887098
2023-02-12,452.0,425.0,449.5,427.5,-4.894328
2023-02-19,425.0,380.0,422.5,382.5,-10.526318
2023-02-26,368.0,355.0,365.5,357.5,-6.5359473
2023-03-05,343.0,330.0,340.5,332.5,-6.9930077
2023-03-12,335.0,305.0,332.5,307.5,-7.518798
2023-03-19,302.0,266.0,299.5,268.5,-12.682926
2023-03-26,263.0,227.0,260.5,229.5,-14.525139
2023-04-02,226.0,215.0,223.5,217.5,-5.228758
2023-04-09,215.0,190.0,212.5,192.5,-11.494255
2023-04-16,190.0,170.0,187.5,172.5,-10.389608
2023-04-23,180.0,163.0,165.5,177.5,2.89855
2023-04-30,185.0,175.0,177.5,182.5,2.8169036
2023-05-07,210.0,190.0,192.5,207.5,13.698626
2023-05-14,270.0,215.0,217.5,267.5,28.915668
