Date,High,Low,Open,Close,returns
2017-09-01,20.25,20.25,20.25,20.25,0.4962802
2017-10-01,20.05,20.05,20.05,20.05,-0.9876609
2017-11-01,24.8,24.8,24.8,23.25,15.96011
2017-12-01,24.7,24.7,24.7,23.9,2.7956963
2018-01-01,22.25,22.25,22.25,22.25,-6.903762
2018-02-01,22.0,22.0,22.0,22.0,-1.1235952
2018-03-01,21.0,21.0,21.0,21.0,-4.545456
2018-04-01,20.9,20.9,20.9,20.9,-0.47619343
2018-05-01,22.55,22.55,22.55,22.55,7.8947306
2018-06-01,25.7,24.2,24.4,22.7,0.66519976
2018-07-01,25.85,25.85,25.85,25.85,13.876653
2018-08-01,26.45,26.45,26.45,26.45,2.3210883
2018-09-01,26.5,26.5,26.5,27.5,3.9697528
2018-10-01,27.55,27.4,27.4,28.15,2.363634
2018-11-01,29.85,27.85,27.85,29.0,3.0195355
2018-12-01,30.4,30.4,30.4,28.8,-0.68965554
2019-01-01,28.95,28.95,28.95,28.95,0.5208373
2019-02-01,27.8,27.8,27.8,27.8,-3.9723694
2019-03-01,25.0,25.0,25.0,25.0,-10.071939
2019-04-01,25.2,25.2,25.2,25.2,0.8000016
2019-05-01,25.15,25.15,25.15,24.0,-4.7619104
2019-06-01,24.65,24.65,24.65,24.65,2.7083278
2019-07-01,25.35,25.35,25.35,25.35,2.839756
2019-08-01,25.3,25.3,25.3,25.3,-0.19724369
2019-09-01,25.55,25.55,25.55,25.55,0.9881377
2019-10-01,23.9,23.9,23.9,23.9,-6.457925
2019-11-01,26.15,26.15,26.15,26.15,9.414232
2019-12-01,25.05,25.05,25.05,25.05,-4.2065024
2020-01-01,24.85,24.85,24.85,24.8,-0.9980023
2020-02-01,24.9,24.9,24.9,24.9,0.40322542
2020-03-01,27.4,27.4,27.4,27.4,10.040164
2020-04-01,32.1,26.7,26.7,33.5,22.262775
2020-05-01,35.05,35.05,35.05,34.05,1.6417861
2020-06-01,33.8,33.8,33.8,32.55,-4.405284
2020-07-01,31.9,31.9,31.9,31.9,-1.9969285
2020-08-01,31.4,31.4,31.4,31.4,-1.5673995
2020-09-01,29.9,29.9,29.9,29.9,-4.777068
2020-10-01,32.35,32.35,32.35,29.4,-1.6722381
2020-11-01,29.15,29.15,29.15,29.15,-0.85033774
2020-12-01,30.7,30.7,30.7,30.7,5.3173304
2021-01-01,30.1,30.1,30.1,30.1,-1.9544005
2021-02-01,28.45,28.45,28.45,28.45,-5.4817257
2021-03-01,31.35,31.35,31.35,31.35,10.193324
2021-04-01,29.35,29.35,29.35,29.35,-6.379586
2021-05-01,31.5,31.5,31.5,31.5,7.325387
2021-06-01,32.45,32.45,32.45,32.45,3.0158758
2021-07-01,32.4,32.4,32.4,32.4,-0.154078
2021-08-01,33.7,33.7,33.7,33.7,4.0123463
2021-09-01,47.75,45.0,47.75,43.05,27.744806
2022-01-01,44.0,44.0,44.0,44.0,2.2067428
2022-02-01,49.5,49.5,49.5,48.95,11.250008
2022-03-01,58.95,50.35,50.35,58.6,19.713985
2022-04-01,62.5,62.5,62.5,53.1,-9.385663
2022-05-01,48.45,48.45,48.45,48.45,-8.757061
2022-06-01,50.85,50.85,50.85,50.85,4.9535513
2022-07-01,49.65,49.65,49.65,49.65,-2.359879
2022-08-01,53.3,53.3,53.3,53.3,7.351458
2022-09-01,49.0,49.0,49.0,49.0,-8.067542
2022-10-01,52.8,52.8,52.8,52.8,7.7551007
2022-11-01,49.95,49.95,49.95,49.95,-5.397725
2022-12-01,49.0,49.0,49.0,49.0,-1.9019008
2023-01-01,50.85,50.85,50.85,50.85,3.7755013
2023-02-01,51.05,51.05,51.05,51.05,0.39331913
2023-10-01,75.0,75.0,75.0,74.6,46.13124
2023-11-01,80.6,80.6,80.6,80.6,8.042896
2023-12-01,91.6,91.6,91.6,91.6,13.64764
2024-01-01,101.3,101.3,101.3,101.3,10.589528
2024-02-01,94.7,94.7,94.7,94.7,-6.5153065
2024-03-01,88.45,88.45,88.45,88.45,-6.5997896
2024-04-01,90.25,90.25,90.25,90.25,2.0350456
2024-05-01,88.6,88.6,88.6,88.6,-1.8282592
2024-06-01,85.75,85.75,85.75,85.75,-3.2167017
2024-07-01,84.45,84.45,84.45,84.45,-1.5160382
2024-08-01,79.25,79.25,79.25,79.25,-6.157488
2024-09-01,79.5,79.5,79.5,79.5,0.31545162
